iter	RMSE
0	16.46613366
1	16.07990542
2	15.71695334
3	15.38026282
4	15.08131373
5	14.80126319
6	14.49285714
7	14.20450709
8	13.93728588
9	13.66203311
10	13.38761709
11	13.11960449
12	12.88742631
13	12.66658676
14	12.44602916
15	12.22681684
16	12.00058486
17	11.82936906
18	11.64085034
19	11.45441178
20	11.28739551
21	11.11146668
22	10.94639388
23	10.80031487
24	10.65040628
25	10.50224803
26	10.3676623
27	10.22841354
28	10.11788973
29	9.971969863
30	9.860289357
31	9.779215999
32	9.686757717
33	9.574653918
34	9.465095898
35	9.372585825
36	9.281437033
37	9.196670489
38	9.11143688
39	9.028673541
40	8.937710465
41	8.857107334
42	8.775550655
43	8.713757818
44	8.643912611
45	8.590661544
46	8.516479411
47	8.46281029
48	8.412392103
49	8.357669853
50	8.291682428
51	8.236420099
52	8.186357784
53	8.138469537
54	8.091171099
55	8.044134
56	7.995591171
57	7.956960645
58	7.906821845
59	7.866505617
60	7.830721611
61	7.799177858
62	7.766876509
63	7.735186822
64	7.704567238
65	7.69546992
66	7.66164942
67	7.627729074
68	7.598067496
69	7.571239663
70	7.539110997
71	7.507747897
72	7.482407886
73	7.454784134
74	7.424804933
75	7.401636928
76	7.379852412
77	7.354880737
78	7.330148166
79	7.309519946
80	7.286787197
81	7.268972547
82	7.243393995
83	7.222872184
84	7.191101874
85	7.17038739
86	7.149879689
87	7.131181713
88	7.107994231
89	7.092928805
90	7.071298594
91	7.053597354
92	7.035645584
93	7.018489113
94	7.007872353
95	6.998599147
96	6.98074091
97	6.968597757
98	6.954093421
99	6.943165084
100	6.934838304
101	6.921038554
102	6.904851285
103	6.884893671
104	6.871514978
105	6.858194113
106	6.846916189
107	6.831388537
108	6.820646279
109	6.808164915
110	6.801214008
111	6.79322553
112	6.783086634
113	6.773151856
114	6.759587598
115	6.747162461
116	6.73799469
117	6.731256702
118	6.718493197
119	6.703936799
120	6.692970392
121	6.681263922
122	6.670017931
123	6.661441086
124	6.650111789
125	6.635289609
126	6.623992286
127	6.615309472
128	6.602659857
129	6.59668229
130	6.588536904
131	6.573863811
132	6.5623353
133	6.559226936
134	6.548729484
135	6.542157166
136	6.529314087
137	6.52036235
138	6.511464896
139	6.502830724
140	6.498323439
141	6.486433895
142	6.481332011
143	6.469216261
144	6.464993638
145	6.456242625
146	6.438888668
147	6.432777207
148	6.424932542
149	6.412404288
150	6.403461714
151	6.390659719
152	6.383373631
153	6.369955147
154	6.360371565
155	6.353131384
156	6.34402112
157	6.334167895
158	6.327923631
159	6.323479801
160	6.315843911
161	6.307667883
162	6.296243762
